Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
12/18/2018,Open,,18-03388270,Rodent Baiting/Rat Complaint,,,,,,2732 W MELROSE ST,60618,1157622.493,1921462.43,33,17,21,41.94025296,-87.69609253,"(41.940252960348, -87.696092533073)",2,21538,22,425,20
12/18/2018,Open,,18-03388125,Rodent Baiting/Rat Complaint,,,,,,3044 W THORNDALE AVE,60659,1154849.45,1939015.04,40,20,2,41.9884745,-87.70581195,"(41.98847449993, -87.705811949507)",46,4450,20,65,24
12/18/2018,Open,,18-03388055,Rodent Baiting/Rat Complaint,,,,,,4511 N PULASKI RD,60630,1148914.028,1929707.56,35,17,14,41.96305142,-87.72788516,"(41.963051420227, -87.727885158144)",28,21869,14,257,12
12/18/2018,Open,,18-03386546,Rodent Baiting/Rat Complaint,,,,,,1609 W WRIGHTWOOD AVE,60614,1165127.965,1917335.271,32,19,7,41.9287714,-87.66862509,"(41.928771396163, -87.668625093921)",16,21190,68,743,40
12/18/2018,Open,,18-03387374,Rodent Baiting/Rat Complaint,,,,,,2500 N NEW ENGLAND AVE,60707,1130002.769,1915859.707,36,25,18,41.92539695,-87.79773441,"(41.925396948049, -87.797734406018)",39,4454,18,136,44
12/18/2018,Open,,18-03388896,Rodent Baiting/Rat Complaint,,,,,,1508 N CENTRAL AVE,60651,1138725.517,1909471.3,29,25,25,41.90771245,-87.76583766,"(41.907712452275, -87.76583765576)",4,4299,26,599,45
12/18/2018,Open,,18-03386544,Rodent Baiting/Rat Complaint,,,,,,1623 W WRIGHTWOOD AVE,60614,1164978.365,1917331.319,32,19,7,41.92876373,-87.66917494,"(41.928763732526, -87.669174935598)",16,21190,68,743,40
12/18/2018,Open,,18-03388264,Rodent Baiting/Rat Complaint,,,,,,2916 W 86TH ST,60652,1158367.902,1847447.57,18,8,70,41.73713246,-87.69537338,"(41.73713245793, -87.695373381679)",6,4300,69,217,30
12/18/2018,Open,,18-03388501,Rodent Baiting/Rat Complaint,,,,,,2342 S CENTRAL PARK AVE,60623,1152738.843,1888201.653,22,10,30,41.84908033,-87.71492275,"(41.849080332575, -87.714922751048)",14,21569,32,755,28
12/18/2018,Open,,18-03388510,Rodent Baiting/Rat Complaint,,,,,,5519 S NOTTINGHAM AVE,60638,1129967.089,1867121.427,23,8,56,41.7916521,-87.79898009,"(41.791652100128, -87.798980091442)",35,22268,53,589,6
12/18/2018,Open,,18-03386547,Rodent Baiting/Rat Complaint,,,,,,1611 W WRIGHTWOOD AVE,60614,1165106.565,1917334.671,32,19,7,41.9287702,-87.66870375,"(41.928770204947, -87.668703748738)",16,21190,68,743,40
12/18/2018,Open,,18-03388083,Rodent Baiting/Rat Complaint,,,,,,17 N AUSTIN BLVD,60644,1136386.975,1899508.692,29,15,25,41.88041591,-87.77466664,"(41.880415910334, -87.774666640998)",52,22216,26,,7
12/18/2018,Open,,18-03387924,Rodent Baiting/Rat Complaint,,,,,,1423 W CUYLER AVE,60613,1166036.838,1926997.26,47,19,6,41.95526498,-87.66500848,"(41.955264984775, -87.665008479347)",13,21186,57,650,18
12/18/2018,Open,,18-03388346,Rodent Baiting/Rat Complaint,,,,,,7929 S TRUMBULL AVE,60652,1154759.95,1851791.955,18,8,70,41.74912681,-87.70847641,"(41.749126812826, -87.708476407927)",6,4300,69,199,30
12/18/2018,Open,,18-03388906,Rodent Baiting/Rat Complaint,,,,,,1364 E MADISON PARK,60615,1186202.408,1871720.311,4,2,39,41.80312758,-87.59263082,"(41.803127576511, -87.592630820606)",1,21192,5,356,10
